"SMILES","CM"
"OCC1=CC=CC=C1","cnmn"
"ClCC1=CC=CC=C1","cymy"
"[Be+2].O=S(=O)([O-])[O-]","cnmn"
"C1=C(C=CC=C1)C2=CC=CC=C2","cnmn"
"OCC(CO)(CBr)CBr","cymy"
"CCCC[Sn](O[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC","cnmn"
"CC(CCl)OC(C)CCl","cymy"
"C1=CC=C2C(=C1)N=C(N=C2N(CCO)CCO)C3=CC=C(S3)[N+]([O-])=O","cymn"
"C(C1C=CC(=CC=1)O)(C2=CC=C(C=C2)O)(C)C","cnmn"
"NC1=C5C(C=C(S(=O)([O-])=O)C(/N=N/C6=CC=CC=C6)=C5O)=CC(S(=O)([O-])=O)=C1/N=N/C2=CC=C(C3=CC=C(/N=N/C4=C(N)C=C(N)C=C4)C=C3)C=C2.[Na+].[Na+]","cymy"
"O=S(C1=C(/N=N/C2=CC=C(C3=CC=C(\N=N/C4=C(S(=O)([O-])=O)C=C5C(C(N)=CC(S(=O)([O-])=O)=C5)=C4O)C=C3)C=C2)C(O)=C(C(N)=CC(S(=O)([O-])=O)=C6)C6=C1)([O-])=O.[Na+].[Na+].[Na+].[Na+]","cymy"
"C12C(=CC(=C(C=1O)/N=N/C3=C(C=C(C=C3)C4=CC(=C(C=C4)/N=N/C5=C(C=C6C(=C5O)C(=CC(=C6)S(=O)(=O)[O-])N)S(=O)(=O)[O-])OC)OC)S(=O)(=O)[O-])C=C(C=C2N)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+]","cymy"
"NC1=CC(S(=O)([O-])=O)=CC2=C1C(O[Cu]OC4=C(C=CC(C5=CC(O[Cu]OC7=C(C(S(=O)([O-])=O)=CC8=C7C(N)=CC(S(=O)([O-])=O)=C8)\N=N6)=C/6C=C5)=C4)\N=N3)=C/3C(S(=O)([O-])=O)=C2.[Na+].[Na+].[Na+].[Na+]","cymn"
"O=C1C2=C(C(=CC=C2N)N)C(=O)C3=C(C=CC(=C13)N)N","cymy"
"C1(=C2/C(C3=CC(S(=O)(=O)[O-])=CC=C3N2)=O)/C(C4=CC(S(=O)(=O)[O-])=CC=C4N1)=O.[Na+].[Na+]","cnmn"
"C1(=C(C=CC(=C1)N(CCO)CCO)NC)[N+]([O-])=O","cymy"
"C1(=C(C=CC(=C1)N(CCO)CCO)NCCO)[N+]([O-])=O","cnmy"
"OB(O)O","cnmn"
"Br(=O)(=O)[O-].[K+]","cymy"
"ClC(Cl)Br","cymy"
"CCBr","cymy"
"OCCBr","cymy"
"C=CC=C","cymy"
"CCCCOCCO","cymn"
"CC(C)(C)O","cymn"
"CCCCCl","cnmn"
"OC1=C(C=C(C=C1C(CC)C)[N+](=O)[O-])[N+](=O)[O-]","cnmn"
"C(C1=CC=C(C=C1)O)(=O)OCCCC","cnmn"
"N(CCCCO)(CCCC)N=O","cymy"
"O=C(N(CCCC)N=O)N","cymy"
"OC1=CC=C(C=C1C(C)(C)C)OC","cymn"
"OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C","cymn"
"CC(C)(C)c1cc(O)ccc1O","cnmn"
"O=C1CCCO1","cnmn"
"[Cl-].[Cd+2].[Cl-]","cymn"
"OC1=C(C=CC(=C1)/C=C/C(=O)O)O","cymn"
"O=C1C2=C(N=CN2C)N(C(=O)N1C)C","cnmn"
"O=C1CCCCCN1","cnmn"
"OC1=C(C=C(C=C1)CNC(=O)CCCC/C=C/C(C)C)OC","cymn"
"C12C(C(=O)N(C1=O)SC(C(Cl)Cl)(Cl)Cl)C\C=C/C2","cymn"
"O=C1N(C(=O)C2C1CC=CC2)SC(Cl)(Cl)Cl","cymy"
"C(NN)(N)=O.Cl","cymn"
"O[As](=O)(C1=CC=C(C=C1)NC(=O)N)O","cnmn"
"C12C3=C(C=CC=C3)NC1=CC=CC=2","cymn"
"ClC(Cl)(Cl)Cl","cymn"
"N(C(=O)N)(N=O)CC(=O)O","cymn"
"BrC(C(=O)NC(=O)N)(CC)CC","cnmn"
"CC2(C)CCCC(\C)=C2\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(/C)CCCC1(C)C","cnmy"
"O=C1C[C@H](C\C=C1\C)C(C)=C","cnmn"
"OC1=C(C=CC=C1)O","cymn"
"ClCCN(C1=CC=C(C=C1)CCCC(=O)O)CCCl","cymy"
"O=C1C(=C(C(=O)C(=C1Cl)Cl)Cl)Cl","cnmy"
"ClC2(C(Cl)3Cl)C(Cl)=C(Cl)C3(Cl)C1CC(Cl)C(Cl)C12","cymn"
"ClC2(Cl)C1(Cl)C(\Cl)=C(\Cl)C2(Cl)C(C1C(O)=O)C(O)=O","cymn"
"ClC(CC(Cl)C(Cl)CCC(Cl)CC)C(Cl)C(Cl)CCl","cymn"
"O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].Cl[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]","cnmy"
"ClCl","cnmn"
"CC(=C)CCl","cymn"
"CC(=C)CCl","cymy"
"ClC1=C(C=CC=C1)[N+](=O)[O-]","cymy"
"O=[N+](C1=CC=C(C=C1)Cl)[O-]","cymy"
"NC1=C(C=CC(=C1)N)Cl","cymy"
"NC1=C(C=CC(=C1)Cl)N","cymy"
"Nc1cc(Cl)c(N)cc1.OS(O)(=O)=O","cnmy"
"OC(C)CCl","cnmy"
"ClC1=C(C=CC(=C1)N)C","cnmn"
"NC1=CC(=CC=C1C)Cl","cymn"
"C1(=C(C=CC(=C1)Cl)N)C.[H]Cl","cymn"
"C(CCl)(F)(F)F","cymn"
"O=C(C1=CC=CC=C1)CCl","cnmn"
"ClCC(=O)C1=CC=C(NC(=O)C)C=C1","cnmy"
"NC1=CC=C(C=C1)Cl","cnmy"
"C1(=CC=C(Cl)C=C1)N.[H]Cl","cymy"
"ClC1=CC=CC=C1C=C(C#N)C#N","cnmy"
"OC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)C(=O)OCC","cymn"
"C([N+](C)(C)C)CCl.[Cl-]","cnmn"
"ClC(Cl)Cl","cymn"
"ClCOC","cymn"
"C1(C=CC=CN=1)CCl.Cl","cnmy"
"C1(=CC=CN=C1)CCl.[H]Cl","cymy"
"O=C(N(C)C)NC1=CC=C(C=C1)Cl","cymn"
"ClC([N+](=O)[O-])(Cl)Cl","cnmy"
"C=C(Cl)C=C","cymn"
"C=C(Cl)C=C","cnmn"
"ClC1=C(C(=C(C(=C1C#N)Cl)Cl)Cl)C#N","cymn"
"O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(=O)N(CCCl)N=O","cymy"
"C[N+](CCC(C1=CC=C(C=C1)Cl)C2=NC=CC=C2)C.C(\C(=C(/C(=O)[O-])[H])[H])(=O)O","cnmn"
"O=S(=O)(C1=CC=C(C=C1)Cl)NC(=O)NCCC","cnmn"
"C([N+](C)(C)C)CO.[Cl-]","cnmn"
"O=C1C2=C(C=CC=C2O)C(=O)C3=CC=CC(=C13)O","cymy"
"O=C/C=C/C1=CC=CC=C1","cnmn"
"NC1=C(C=CC=C1)C(=O)OC/C=C/C2=CC=CC=C2","cymn"
"O=CC=C(CCC=C(C)C)C","cnmn"
"O.O.O.O.[Co+2].O.O.O.[O-]S([O-])(=O)=O","cymy"
"O[C@@H]1C2[C@@]34C5=C(C=CC(=C5O2)OC)CC(C3C=C1)N(C)CC4","cnmn"
"CC1=C(Cl)C(=O)OC2=C1C=CC(=C2)OP(=S)(OCC)OCC","cnmn"
"O=C1OC2=C(C=CC=C2)C=C1","cymy"
"COC1=CC(=C(C=C1)N)C","cymy"
"NC1=CC(=CC=C1OC)C","cymy"
"[N+].C1(N(N=O)[O-])=CC=CC=C1","cymy"
"[Ca+2].[N-2]C#N","cnmy"
"O=C1CCCCC1","cnmn"
"C1(CCCCC1)N.[H]Cl","cnmn"
"ClCCN(CCCl)[P]1(=O)NCCCO1","cymy"
"C[C@H](C\C=C\C)[C@@H](O)[C@@H]1N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC1=O)C(C)C","cnmn"
"O=C(/C=C(C(C1=CC=C(C=C1)OC)=O)/Br)[O-].[Na+]","cymy"
"O=C(N)C1=C(N=CN1)/N=N/N(C)C","cymy"
"O=C(CCC(=O)O)NN(C)C","cymn"
"O=S(=O)(C1=CC=C(C=C1)N)C2=CC=C(C=C2)N","cymn"
"ClC(C(C1=C(C=CC=C1)Cl)C2=CC=C(C=C2)Cl)Cl","cnmn"
"ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl","cymn"
"ClC(=C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl","cymn"
"ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)(Cl)Cl","cymn"
"BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br","cymn"
"BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br","cnmn"
"Br/C(Br)=C/[C@H]3[C@@H](C(=O)O[C@H](C#N)c2cccc(Oc1ccccc1)c2)C3(C)C","cnmn"
"O=C(C1=C(C=CC=C1)C(=O)OCC=C)OCC=C","cnmn"
"C=CCN(CC=C)N=O","cymy"
"C1(=C(/C=C/C2=C(S(=O)(=O)[O-])C=C(C=C2)N)C=CC(=C1)N)S(=O)(=O)[O-].[Na+].[Na+]","cnmn"
"NC(C=C(C=C1)N)=C1OC.O=S(O)(O)=O","cymy"
"NC1=C(C=CC(=C1)N)C","cymy"
"NC1(=C(C=CC(=C1)N)C).[H]Cl.[H]Cl","cymy"
"C1(=CC(=C(C(=C1)N)C)N).[H]Cl.[H]Cl","cnmy"
"NC1=C(C)C=C(N)C=C1.O=S(O)(O)=O","cnmy"
"CN1C2=C(C=C(C=C2)Cl)C(=NCC1=O)C3=CC=CC=C3","cnmn"
"S=P(OC1=NC(=NC(=C1)C)C(C)C)(OCC)OCC","cnmn"
"O1C2=C(C=CC=C2)OC3=CC=CC=C13","cnmn"
"BrC(CCl)CBr","cymy"
"O[C@@H]([C@@H](O)[C@H](O)CBr)[C@@H](O)CBr","cymy"
"BrCCBr","cymy"
"O[C@H]([C@H](O)CBr)[C@H](O)[C@H](O)CBr","cymy"
"CC(=O)O[Sn](OC(=O)C)(CCCC)CCCC","cnmn"
"O=CC(\Cl)=C(\Cl)C(O)=O","cnmy"
"O=[N+](C1=CC(=C(C(=C1)Cl)N)Cl)[O-]","cnmy"
"NC1=C(C=C(C=C1Cl)N)Cl","cymy"
"OC(=O)C(Cl)Cl","cymy"
"ClC1=C(C=CC=C1)Cl","cnmn"
"ClC1=CC=C(C=C1)Cl","cymn"
"ClC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)Cl)N","cymy"
"ClC1=CC2=C(C=C1)OC3=C(C=CC(=C3)Cl)O2","cnmn"
"S(=O)(=O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2","cnmn"
"CC(Cl)Cl","cnmn"
"ClCCCl","cymy"
"ClC1=C(C=CC(=C1)Cl)O","cnmn"
"ClC1=C(C=CC(=C1)Cl)OCC(=O)O","cnmn"
"ClC1=C(C=CC(=C1)Cl)OCC(=O)OCCCC","cnmn"
"O=C(COC1=C(Cl)C=C(Cl)C=C1)OCC(CC)CCCC","cnmn"
"CC(Cl)CCl","cymy"
"O=P(OC=C(Cl)Cl)(OC)OC","cymy"
"S=C(NC1CCCCC1)NC1CCCCC1","cnmn"
"Cl\C2=C(/Cl)C3(Cl)C1C4CC(C1C2(Cl)C3(Cl)Cl)C5OC45","cymn"
"ClC6C4(Cl)C3C1C5C(C3C2OC12)C4(Cl)C(Cl)(Cl)C56Cl","cnmy"
"CCN(CC)C(=O)C1=CC=CC(C)=C1","cnmn"
"S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC","cnmn"
"OC2=CC=C(C=C2)/C(CC)=C(CC)/C1=CC=C(O)C=C1","cymn"
"S=C(NCC)NCC","cymn"
"C1=C(C=CC=C1OCC2CO2)OCC3CO3","cymy"
"O=C1OC2=C(C=CC=C2)CC1","cymn"
"CCCC1=CC2=C(C=C1)OCO2","cymn"
"C1(=C(C(OCCCCCCC(C)C)=O)C=CC=C1)C(OCCCCCCC(C)C)=O","cymn"
"S=P(SCC(=O)NC)(OC)OC","cnmy"
"CC1CC(OC(O1)C)OC(=O)C","cymy"
"CC1CC(OC(O1)C)OC(=O)C","cnmy"
"C1(=CC(=CC=C1N)OC)OC.[H]Cl","cnmy"
"COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)OC)N=C=O","cymy"
"NC1=CC=C(C2=CC=C(N)C(OC)=C2)C=C1OC.Cl.Cl","cymy"
"O=P(H)(OC)OC","cymy"
"P(=O)(OC)(OC)N1CCOCC1","cymn"
"O=C(C1=CC=C(C=C1)C(=O)OC)OC","cnmn"
"CN(C)C(C)=O","cnmn"
"CN(C)CNc2nnc(/C=C/c1ccc(o1)[N+]([O-])=O)o2","cymy"
"O=C1N(C2=CC=CC=C2)N(C(=C1N(C)C)C)C","cnmy"
"C1(C2=CC(=C(N)C=C2)C)(=CC(=C(N)C=C1)C).[H]Cl.[H]Cl","cymy"
"O=C(N(C)C)Cl","cymy"
"CN(C=O)C","cnmn"
"CN(C)N","cymy"
"N(NC)C.[H]Cl.[H]Cl","cymy"
"[O-][N+](C2=CC=C(O2)C1=CSC(NN(C)C)=N1)=O","cymy"
"C\C(C)=C/Cl","cymy"
"O=NN(CCN1N=O)CCC1","cymy"
"O=NN1CCN(N=O)CC1","cymy"
"CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]","cymy"
"CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]","cnmy"
"C1COCCO1","cymn"
"S=P(SC1C(SP(=S)(OCC)OCC)OCCO1)(OCC)OCC","cnmy"
"C(C1=CC=CC=C1)(C2=CC=CC=C2)OCCN(C)C.[H]Cl","cnmn"
"N(C1=CC=C(C=C1)NC2=CC=CC=C2)C3=CC=CC=C3","cnmy"
"OC(OC(O)CC)CC","cnmn"
"NC(=S)NNC(=S)N","cnmn"
"C(CC(=O)O)C(=O)O.C(OCCN(C)C)(C)(C1=CC=CC=C1)C2=CC=CC=N2","cymn"
"C([O-])(=O)CN(CC(=O)O)CCN(CC([O-])=O)CC([O-])=O.[Na+].[Na+].[Na+].[H]O[H].[H]O[H].[H]O[H]","cnmn"
"O=C1c2c(O)cc(C)cc2C(=O)c3cc(O)cc(O)c13","cnmy"
"Cl\C2=C(/Cl)C3(Cl)C1COS(=O)OCC1C2(Cl)C3(Cl)Cl","cnmn"
"Cl\C2=C(/Cl)C3(Cl)C1C4CC(C1C2(Cl)C3(Cl)Cl)C5OC45","cnmn"
"FC(C(F)Cl)(OC(F)F)F","cnmn"
"O=S(O)(O)=O.O[C@@H]([C@H](C)NC)[C@@]1=CC=CC=C1.O[C@@H]([C@H](C)NC)[C@@]2=CC=CC=C2","cnmn"
"ClCC1CO1","cymy"
"CCC1CO1","cymy"
"OC1(=C(O)C(=O)O[C@H]1[C@@H](C[O-])O).[Na+]","cnmn"
"O=C(O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C2=O)[C@H](C)[C@@H](O[C@H]3C[C@](OC)(C)[C@@H](O)[C@H](C)O3)[C@H](C)[C@H]([C@@](O)(C)C[C@H]2C)O[C@H]1[C@H](O)[C@@H]([N@H+](C)C)C[C@@H](C)O1.[O-]C(CCCCCCCCCCCCCCCCC)=O","cnmn"
"NC(CCSCC)C(=O)O","cymn"
"CC1=CC(NC2=C1C=C(C=C2)OCC)(C)C","cnmn"
"O=C(OCC)C=C","cymn"
"CCO","cymn"
"ClC(C(C1=CC=C(C=C1)CC)C2=CC=C(C=C2)CC)Cl","cnmy"
"CC1(C2=CC=CC=C2)C(O1)C(=O)OCC","cnmn"
"NC(=O)N(CC)N=O","cymy"
"S=C(S[Te](SC(=S)N(CC)CC)(SC(=S)N(CC)CC)SC(=S)N(CC)CC)N(CC)CC","cnmn"
"CCC1=CC=CC=C1","cymn"
"C(CO)O","cnmn"
"C1CN1","cymy"
"C1CO1","cymy"
"S=C1NCCN1","cymy"
"CCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CCCC","cymn"
"O=C(C1=C(C=CC=C1)C(=O)OCC(CCCC)CC)OCC(CCCC)CC","cymn"
"N#CN(CC)N=O","cymy"
"OC1=C(C=C(C=C1)CC=C)OC","cnmn"
"[Na+].CN(C)c1ccc(/N=N/S([O-])(=O)=O)cc1","cnmy"
"S=P(OC1=CC(=C(C=C1)SC)C)(OC)OC","cnmn"
".[Cl-].[Fe+3].[Cl-].[Cl-]","cnmn"
"O=C(NC1=CC=CC(=C1)C(F)(F)F)N(C)C","cnmn"
"[Na+].[F-]","cnmn"
"O=C1C(=CNC(=O)N1)F","cymn"
"C=O","cymy"
"[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NNC=O","cymy"
"O=C(C[C@@H]([C@@](O)=O)CC(O)=O)O[C@H]([C@@H](C)CCCC)[C@@H](C[C@H](C)C[C@@H](O)CCCC[C@@H](O)C[C@H](O)[C@@H](N)C)OC(C[C@@H]([C@@](O)=O)CC(O)=O)=O","cymn"
"C1=COC=C1","cymn"
"O=CC1=CC=CO1","cymy"
"C1=C(CO)OC=C1","cymn"
"[Cl-].C/[N+](C)=C1\C=C/C(C=C1)=C(\c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C","cymn"
"O=C(C)OC/C=C(C)/CC/C=C(C)/C","cnmn"
"OC(=O)[C@@H]3[C@]51C[C@@](O)(CC[C@H]1[C@@]24\C=C/[C@H](O)[C@@](C)(C(=O)O2)[C@@H]34)C(=C)C5","cnmn"
"N1C2=C(N3C=1/C(=C\C=C/3)C)N=C(C=C2)N","cymy"
"N12C3=C(C=CC(=N3)N)N=C1C=CC=C2","cymy"
"O=CCCCC=O","cnmy"
"OC(CO)CCl","cnmy"
"OCC1CO1","cymy"
"C(/C1=C(C=C(C=C1)O)S(=O)(=O)[O-])(C2=CC=C(C=C2)N(CC3=CC(=CC=C3)S(=O)(=O)[O-])CC)=C4/C=C/C(C=C4)=[N+](\CC5=CC(=CC=C5)S(=O)(=O)[O-])CC.[Na+].[Na+]","cnmn"
"O=C2C1=C(OC)C=C(OC)C(Cl)=C1O[C@]32C(OC)=CC(C[C@@](C)3[H])=O","cymn"
"ClC1/C=C\C2C1C3(Cl)C(/Cl)=C(/Cl)C2(Cl)C3(Cl)Cl","cymn"
"ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl","cymn"
"Cl\C(Cl)=C(Cl)/C(Cl)=C(Cl)\Cl","cymn"
"Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl","cymn"
"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl","cymn"
"ClC1(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl","cnmn"
"ClC(C(Cl)(Cl)Cl)(Cl)Cl","cymn"
"OC1=C(C=C(C(=C1CC2=C(C(=CC(=C2Cl)Cl)Cl)O)Cl)Cl)Cl","cnmn"
"C1N2CN3CN(C2)CN1C3","cnmy"
"O=C(N(CCCCCC)N=O)N","cymy"
"OC1=C(C=CC(=C1)O)CCCCCC","cnmn"
"NN","cymy"
"OS(=O)(=O)O.NN","cymy"
"N(C1=CC=CC=C1)NC2=CC=CC=C2","cymy"
"O=S1(=O)C2=C(C=C(C(=C2)S(=O)(=O)N)Cl)NCN1","cnmn"
"OC1=CC=C(C=C1)O","cymn"
"CC(=O)N(O)C1=CC2=C(C=C1)C3=CC=CC=C3C2","cymy"
"O=C(N(CCO)N=O)N","cymy"
"OC1=CC=CC2=CC=CN=C12","cnmy"
"OC(C=C)C1=CC=C2OCOC2=C1","cymn"
"OC(=O)CC1=CNC2=C1C=CC=C2","cnmn"
"C1C(OC(O1)C(C)I)CO","cymy"
"IC(I)I","cnmy"
"NC1=NC(C3=C(N=CC=C3)C=C2)=C2N1C","cymy"
"NC1=NC(C3=C(N=CC=C3)C=C2)=C2N1C.[H]Cl","cymy"
"CC(CON=O)C","cymy"
"CC(C)C=O","cnmn"
"FC(C(OC(F)F)Cl)(F)F","cnmn"
"O=C(C1=CC=NC=C1)NN","cymy"
"CC1(CC(=CC(=O)C1)C)C","cymn"
"ClCCN[P]1(=O)OCCCN1CCCl","cymy"
"CC(=C)C=C","cymn"
"OC(C)C","cnmn"
"CC(OC1=CC=C(C=C1)NC2=CC=CC=C2)C","cnmn"
"C/C=C/C1=CC2=C(C=C1)OCO2","cnmn"
"O=C1C2=C(C=C(C=C2O)O)OC(=C1O)C3=CC=C(C=C3)O","cnmy"
"ClC54C(=O)C1(Cl)C2(Cl)C5(Cl)C3(Cl)C4(Cl)C1(Cl)C2(Cl)C3(Cl)Cl","cymn"
"O=C1C(O)=COC(CO)=C1","cymy"
"[H][C@]12N(CC=C2COC([C@@](O)(C(O)(C)C)[C@H](C)OC)=O)CC[C@@H]1OC(\C(C)=C/C)=O","cymy"
"S=C(S[Pb]SC(N(C)C)=S)N(C)C","cnmy"
"O=C(O)CC[C@@H](C)[C@]3([H])[C@](CC2)(C)[C@](CC3)([H])[C@@](CC4)([H])[C@@]2([H])[C@]1(C)[C@@]4([H])C[C@H](O)CC1","cnmn"
"O=C1C23C4C5C6(C(=O)C7=C(O)C(C)=CC(=C7C(C6=C(C2C5O)O)=O)O)C(C4O)C(=C3C(=O)C8=C1C(O)=C(C)C=C8O)O","cymn"
"O=C(C(SP(=O)(OC)OC)CC(=O)OCC)OCC","cnmn"
"O=C(C(SP(=S)(OC)OC)CC(=O)OCC)OCC","cnmn"
"O=C1C=CC(=O)NN1","cnmn"
"C(=C/C=O)\[O-].[Na+]","cymn"
"O=S(=O)([O-])[O-].O.[Mn+2]","cnmn"
"O[C@@H]([C@H](O)[C@H](O)CO)[C@H](O)CO","cnmn"
"[NH3+]C2=C(C)C=C(C3=N2)C1=C(N3)C=CC=C1.O=C([O-])C","cymy"
"NC(N3C)=NC2=C3C(C)=CC1=NC=CC=C12","cymy"
