"DSSTox_RID","DSSTox_CID","DSSTox_Generic_SID","DSSTox_FileID","STRUCTURE_Formula","STRUCTURE_MolecularWeight","STRUCTURE_ChemicalType","STRUCTURE_TestedForm_DefinedOrganic","STRUCTURE_Shown","TestSubstance_ChemicalName","TestSubstance_CASRN","TestSubstance_Description","ChemicalNote","STRUCTURE_ChemicalName_IUPAC","STRUCTURE_SMILES","STRUCTURE_Parent_SMILES","STRUCTURE_InChI","STRUCTURE_InChIKey","StudyType","Endpoint","Species","ActivityOutcome_CPDBAS_Mutagenicity","TD50_Rat_mg","TD50_Rat_mmol","ActivityScore_CPDBAS_Rat","TD50_Rat_Note","TargetSites_Rat_Male","TargetSites_Rat_Female","TargetSites_Rat_BothSexes","ActivityOutcome_CPDBAS_Rat","TD50_Mouse_mg","TD50_Mouse_mmol","ActivityScore_CPDBAS_Mouse","TD50_Mouse_Note","TargetSites_Mouse_Male","TargetSites_Mouse_Female","TargetSites_Mouse_BothSexes","ActivityOutcome_CPDBAS_Mouse","TD50_Hamster_mg","TD50_Hamster_mmol","ActivityScore_CPDBAS_Hamster","TD50_Hamster_Note","TargetSites_Hamster_Male","TargetSites_Hamster_Female","TargetSites_Hamster_BothSexes","ActivityOutcome_CPDBAS_Hamster","TD50_Dog_mg","TargetSites_Dog","TD50_Rhesus_mg","TargetSites_Rhesus","TD50_Cynomolgus_mg","TargetSites_Cynomolgus","TD50_Dog_Primates_Note","ActivityOutcome_CPDBAS_Dog_Primates","ActivityOutcome_CPDBAS_SingleCellCall","ActivityOutcome_CPDBAS_MultiCellCall","ActivityOutcome_CPDBAS_MultiCellCall_Details","Note_CPDBAS","NTP_TechnicalReport","ChemicalPage_URL"
20017,17,20017,"18_CPDBAS_v5d","C15H13NO",223.2738,"defined organic","parent ","tested chemical","1-Acetylaminofluorene","28314-03-6","single chemical compound",,"N-9H-fluoren-1-ylacetamide","CC(=O)NC1=C2CC3=CC=CC=C3C2=CC=C1","CC(=O)NC1=C2CC3=CC=CC=C3C2=CC=C1","InChI=1/C15H13NO/c1-10(17)16-15-8-4-7-13-12-6-3-2-5-11(12)9-14(13)15/h2-8H,9H2,1H3,(H,16,17)/f/h16H","POECHIXSIXBYKI-WYUMXYHSCQ","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results",,"no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive",,,,,"http://potency.berkeley.edu/chempages/1-ACETYLAMINOFLUORENE.html"
20018,18,39227,"19_CPDBAS_v5d","C15H13NO",223.2698,"defined organic","parent ","tested chemical","2-Acetylaminofluorene","53-96-3","single chemical compound",,"N-9H-fluoren-2-ylacetamide","C12C3=C(C=CC=C3)CC1=CC(=CC=2)NC(C)=O","C12C3=C(C=CC=C3)CC1=CC(=CC=2)NC(C)=O","InChI=1/C15H13NO/c1-10(17)16-13-6-7-15-12(9-13)8-11-4-2-3-5-14(11)15/h2-7,9H,8H2,1H3,(H,16,17)/f/h16H","CZIHNRWJTSTCEX-WYUMXYHSCF","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse; hamster; rhesus","active",1.22,0.00546,49,"TD50 is harmonic mean of more than one positive test","liver; mammary gland; skin","liver; mammary gland; skin",,"active",7.59,0.034,45,"TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results","liver; urinary bladder","liver; urinary bladder",,"active",17.4,0.0779,53,,"liver","no positive results",,"active",,,,"no positive results",,,"no positive results for Rhesus","inactive","active","active","multisite active; multisex active; multispecies active",,,"http://potency.berkeley.edu/chempages/2-ACETYLAMINOFLUORENE.html"
20019,19,20019,"20_CPDBAS_v5d","C15H13NO",223.2698,"defined organic","parent ","tested chemical","4-Acetylaminofluorene","28322-02-3","single chemical compound",,"N-9H-fluoren-4-ylacetamide","C12C3=C(C=CC=C3)CC1=CC=CC=2NC(C)=O","C12C3=C(C=CC=C3)CC1=CC=CC=2NC(C)=O","InChI=1/C15H13NO/c1-10(17)16-14-8-4-6-12-9-11-5-2-3-7-13(11)15(12)14/h2-8H,9H2,1H3,(H,16,17)/f/h16H","PHPWISAFHNEMSR-WYUMXYHSCU","Carcinogenicity","TD50; Tumor Target Sites","rat","active",,,0,"no positive results",,"no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive",,,,,"http://potency.berkeley.edu/chempages/4-ACETYLAMINOFLUORENE.html"
20020,20,20020,"21_CPDBAS_v5d","C10H11NO3",193.1992,"defined organic","parent ","tested chemical","4-Acetylaminophenylacetic acid","18699-02-0","single chemical compound",,"[4-(acetylamino)phenyl]acetic acid","O=C(O)Cc1ccc(cc1)NC(C)=O","O=C(O)Cc1ccc(cc1)NC(C)=O","InChI=1/C10H11NO3/c1-7(12)11-9-4-2-8(3-5-9)6-10(13)14/h2-5H,6H2,1H3,(H,11,12)(H,13,14)/f/h11,13H","MROJXXOCABQVEF-KZZMUEETCP","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive","Rat added v2a; Mouse added v2a",,"http://potency.berkeley.edu/chempages/4-ACETYLAMINOPHENYLACETIC%20ACID.html"
20021,21,20021,"22_CPDBAS_v5d","C5H9NO3S",163.1949,"defined organic","parent ","tested chemical","N-acetylcysteine","616-91-1","single chemical compound","stereochem","N-acetyl-L-cysteine","CC(=O)N[C@@H](CS)C(=O)O","CC(=O)N[C@@H](CS)C(=O)O","InChI=1/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)/t4-/m0/s1/f/h6,8H","PWKSKIMOESPYIA-JVBVHTJODB","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results",,,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive",,,"Rat added v2a",,"http://potency.berkeley.edu/chempages/N-ACETYLCYSTEINE.html"
20022,22,20022,"23_CPDBAS_v5d","C14H7ClF3NO5",361.6573,"defined organic","parent ","tested chemical","Acifluorfen","50594-66-6","single chemical compound",,"5-{[2-chloro-4-(trifluoromethyl)phenyl]oxy}-2-nitrobenzoic acid","OC(=O)C1=C(C=CC(=C1)OC2=CC=C(C=C2Cl)C(F)(F)F)[N+](=O)[O-]","OC(=O)C1=C(C=CC(=C1)OC2=CC=C(C=C2Cl)C(F)(F)F)[N+](=O)[O-]","InChI=1/C14H7ClF3NO5/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21/h1-6H,(H,20,21)/f/h20H","NUFNQYOELLVIPL-UYBDAZJACV","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,141,0.39,33,"TD50 is harmonic mean of more than one positive test","liver; stomach","liver; stomach",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active",,,"http://potency.berkeley.edu/chempages/ACIFLUORFEN.html"
20023,23,20023,"24_CPDBAS_v5d","C3H4O",56.0633,"defined organic","parent ","tested chemical","Acrolein","107-02-8","single chemical compound",,"acrylaldehyde","C=CC=O","C=CC=O","InChI=1/C3H4O/c1-2-3-4/h2-3H,1H2","HGINCPLSRVDWNT-UHFFFAOYAQ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,,"http://potency.berkeley.edu/chempages/ACROLEIN.html"
20024,24,20024,"25_CPDBAS_v5d","C7H14O2",130.1864,"defined organic","parent ","tested chemical","Acrolein diethylacetal","3054-95-3","single chemical compound",,"3,3-bis(ethyloxy)prop-1-ene","C=CC(OCC)OCC","C=CC(OCC)OCC","InChI=1/C7H14O2/c1-4-7(8-5-2)9-6-3/h4,7H,1,5-6H2,2-3H3","MCIPQLOKVXSHTD-UHFFFAOYAI","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/ACROLEIN%20DIETHYLACETAL.html"
20025,25,20025,"26_CPDBAS_v5d","C3H5NO",71.0786,"defined organic","parent ","tested chemical","Acrolein oxime","5314-33-0","single chemical compound",,"(1E)-prop-2-enal oxime","C=C/C=N/O","C=C/C=N/O","InChI=1/C3H5NO/c1-2-3-4-5/h2-3,5H,1H2/b4-3+","KMNIXISXZFPRDC-ONEGZZNKBI","Carcinogenicity","TD50; Tumor Target Sites","rat",,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/ACROLEIN%20OXIME.html"
20026,26,20026,"27_CPDBAS_v5d","C20H19NO3",321.3698,"defined organic","parent ","tested chemical","Acronycine","7008-42-6","single chemical compound",,"3,3,12-trimethyl-6-(methyloxy)-3,12-dihydro-7H-pyrano[2,3-c]acridin-7-one","CN1C2=C(C(OC)=CC3=C2C=CC(O3)(C)C)C(C4=C1C=CC=C4)=O","CN1C2=C(C(OC)=CC3=C2C=CC(O3)(C)C)C(C4=C1C=CC=C4)=O","InChI=1/C20H19NO3/c1-20(2)10-9-13-15(24-20)11-16(23-4)17-18(13)21(3)14-8-6-5-7-12(14)19(17)22/h5-11H,1-4H3","SMPZPKRDRQOOHT-UHFFFAOYAD","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse",,0.505,0.00157,55,"positive test results only by intraperitoneal or intravenous injection; TD50 is harmonic mean of more than one positive test ","bone; peritoneal cavity","mammary gland; peritoneal cavity",,"active",,,0,"only experiment is NCI NTP bioassay inadequate","NTP bioassay inadequate","NTP bioassay inadequate",,"unspecified",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active","ActivityOutcome_CPDBAS_Mouse modified v5d","TR 49 ","http://potency.berkeley.edu/chempages/ACRONYCINE.html"
20027,27,20027,"28_CPDBAS_v5d","C3H5NO",71.0779,"defined organic","parent ","tested chemical","Acrylamide","79-06-1","single chemical compound",,"acrylamide","NC(=O)C=C","NC(=O)C=C","InChI=1/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)/f/h4H2","HRPVXLWXLXDGHG-LGEMBHMGCJ","Carcinogenicity","TD50; Tumor Target Sites","rat","inactive",3.75,0.0528,39,"TD50 is harmonic mean of more than one positive test","nervous system; peritoneal cavity; thyroid gland","clitoral gland; mammary gland; nervous system; oral cavity; thyroid gland; uterus",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active","TD50_Rat modified v3a",,"http://potency.berkeley.edu/chempages/ACRYLAMIDE.html"
20028,28,39229,"29_CPDBAS_v5d","C3H4O2",72.0627,"defined organic","parent ","tested chemical","Acrylic acid","79-10-7","single chemical compound",,"acrylic acid","OC(=O)C=C","OC(=O)C=C","InChI=1/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)/f/h4H","NIXOWILDQLNWCW-JLSKMEETCA","Carcinogenicity","TD50; Tumor Target Sites","rat","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/ACRYLIC%20ACID.html"
20029,29,20029,"30_CPDBAS_v5d","C3H3N",53.0626,"defined organic","parent ","tested chemical","Acrylonitrile","107-13-1","single chemical compound",,"acrylonitrile","C=CC#N","C=CC#N","InChI=1/C3H3N/c1-2-3-4/h2H,1H2","NLHHRLWOUZZQLW-UHFFFAOYAG","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",16.9,0.318,31,"TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results","ear Zymbals gland; nervous system; oral cavity; small intestine; stomach","ear Zymbals gland; mammary gland; nasal cavity; nervous system; oral cavity; small intestine; stomach",,"active",6.32,0.119,39,"TD50 is harmonic mean of more than one positive test","harderian gland; stomach","harderian gland; stomach",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active","Mouse added v5a",,"http://potency.berkeley.edu/chempages/ACRYLONITRILE.html"
