"SMILES","ABSORPTIONPERC","ABSORPTIONCLASS"
"CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O",100,"active"
"CNCCCCOc1ccccc1Cc2ccccc2",95,"active"
"OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4",100,"active"
"CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1",90,"active"
"CC(C)CC1N2C(=O)C(NC(=O)C3CN(C)C4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(OC2(O)C7CCCN7C1=O)C(C)C",35,"unknown"
"CN(C)CCC(c1ccc(Br)cc1)c2ccccn2",50,"unknown"
"CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO",100,"active"
"CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O",80,"active"
"CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1",95,"active"
"O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4",100,"active"
"Cn1cnc2n(C)c(=O)n(C)c(=O)c12",95,"active"
"CC(CCCC(C)(C)O)C1CCC2C(=CC=C3CC(O)CC(O)C3=C)CCCC12C",100,"active"
"CC(CS)C(=O)N1CCCC1C(=O)O",72,"unknown"
"NC(=O)N1c2ccccc2C=Cc3ccccc13",80,"active"
"CC1(C)C(CCC2(C)C1CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC43C)C(=O)O)OC(=O)CCC(=O)O",90,"active"
"CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O",60,"unknown"
"CCOC(=O)n1ccn(C)c1=S",95,"active"
"CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12",95,"active"
"COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23",80,"active"
"Nc1nc(cs1)C(=NOCC(=O)O)C(=O)NC2C3SCC(=C(N3C2=O)C(=O)O)C=C",60,"unknown"
"CON=C(C(=O)NC1C2SCC(=C(N2C1=O)C(=O)O)CSc3nc(C)c(CC(=O)O)s3)c4csc(N)n4",0,"inactive"
"COC1(NC(=O)Cc2cccs2)C3SCC(=C(N3C1=O)C(=O)O)COC(=O)N",0,"inactive"
"COCC1=C(N2C(SC1)C(NC(=O)C(=NOC)c3csc(N)n3)C2=O)C(=O)OC(C)OC(=O)OC(C)C",50,"unknown"
"CC=CC1=C(N2C(SC1)C(NC(=O)C(N)c3ccc(O)cc3)C2=O)C(=O)O",94,"active"
"CON=C(C(=O)NC1C2SCC=C(N2C1=O)C(=O)O)c3csc(N)n3",0,"inactive"
"CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(=O)C",55,"unknown"
"CC1=C(N2C(SC1)C(NC(=O)C(N)c3ccccc3)C2=O)C(=O)O",90,"active"
"OC(=O)COCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3",100,"active"
"CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C",100,"active"
"C[N+](C)(C)CC(=O)[O-]",95,"active"
"OC(O)C(Cl)(Cl)Cl",95,"active"
"OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+](=O)[O-]",85,"active"
"CNC1=Nc2ccc(Cl)cc2C(=[N+]([O-])C1)c3ccccc3",95,"active"
"CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12",100,"active"
"NS(=O)(=O)c1cc2c(N=CNS2(=O)=O)cc1Cl",20,"inactive"
"CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2",80,"active"
"CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13",96,"active"
"CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1",100,"active"
"CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)ccc(Cl)c4C3(C)O",60,"unknown"
"NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc32",65,"unknown"
"CCOC(=O)C(CCc1ccccc1)NC2CCCN3CCCC(N3C2=O)C(=O)O",60,"unknown"
"CNC(=NC#N)NCCSCc1nc[nH]c1C",90,"active"
"CCn1nc(C(=O)O)c(=O)c2cc3OCOc3cc12",95,"active"
"CC(C)(Oc1ccc(cc1)C2CC2(Cl)Cl)C(=O)O",99,"active"
"OC(=O)c1cn(C2CC2)c3cc(N4CCNCC4)c(F)cc3c1=O",77,"unknown"
"COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c3cc(Cl)c(N)cc3OC",95,"active"
"CN(C)CCCC1(OCc2cc(C#N)ccc21)c3ccc(F)cc3",100,"active"
"CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC",100,"active"
"OCC=C1OC2CC(=O)N2C1C(=O)O",75,"unknown"
"CN1C(=O)CC(=O)N(c2ccccc2)c3cc(Cl)ccc13",95,"active"
"CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1",95,"active"
"Cc1ncsc1CCCl",95,"active"
"CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13",95,"active"
"[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1",80,"active"
"Clc1cccc(Cl)c1N=C2NCCN2",100,"active"
"CC1CCCC(C)N1NC(=O)c2ccc(Cl)c(c2)S(=O)(=O)N",100,"active"
"CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24",93,"active"
"Coc1ccc2CC3C4C=CC(O)C5Oc1c2C54CCN3C",90,"active"
"COc1cc2CCC(NC(=O)C)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC",100,"active"
"CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C",95,"active"
"OC(COc1cccc2oc(cc(=O)c12)C(=O)O)COc3cccc4oc(cc(=O)c34)C(=O)O",1,"inactive"
"ClCCN(CCCl)P1(=O)NCCCO1",75,"unknown"
"NC1CONC1=O",100,"active"
"CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C",40,"unknown"
"CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C)C(=O)C",95,"active"
"[O-][N+](=O)c1ccc(cc1)c2ccc(C=NN3CC(=O)NC3=O)o2",80,"active"
"Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2",90,"active"
"Coc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)C",0,"inactive"
"CNCCCN1c2ccccc2CCc3ccccc13",90,"active"
"CCC12CC(=C)C3C(CCC4=CCCCC34)C2CCC1(O)C#C",70,"unknown"
"CCNC(C)Cc1cccc(c1)C(F)(F)F",83,"active"
"CN1CCC23C4Oc5c3c(CC1C2C=CC4OC(=O)C)ccc5OC(=O)C",100,"active"
"CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13",100,"active"
"CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1",90,"active"
"OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl",90,"active"
"OCC1CCC(O1)n2cnc3c(O)ncnc23",30,"inactive"
"CCN(CC)C(=O)N1CCN(CC1)C",90,"active"
"CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2",90,"active"
"OC(=O)c1cc(ccc1O)c2ccc(F)cc2F",90,"active"
"CC1OC(CC(O)C1O)OC2C(C)OC(CC2O)OC3C(C)OC(CC3O)OC4CCC5(C)C(CCC6C5CCC7(C)C(CCC67O)C8=CC(=O)OC8)C4",90,"active"
"CC1OC(CC(O)C1O)OC2C(C)OC(CC2O)OC3C(C)OC(CC3O)OC4CCC5(C)C(CCC6C5CC(O)C7(C)C(CCC67O)C8=CC(=O)OC8)C4",80,"active"
"COc1ccc2CC3C4CCC(O)C5Oc1c2C54CCN3C",97,"active"
"CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1",90,"active"
"Coc1ccc(cc1)C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(=O)C",90,"active"
"CN(C)CCOC(c1ccccc1)c2ccccc2",90,"active"
"OP(=O)([O-])C(Cl)(Cl)P(=O)(O)[O-]",3,"inactive"
"CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C",95,"active"
"CCN(CC)C(=S)SSC(=S)N(CC)CC",80,"active"
"O=C(OC1CC2CC3CC(C1)N2CC3=O)c4c[nH]c5ccccc45",78,"unknown"
"Clc1ccc2n(C3CCN(CCCn4c(=O)[nH]c5ccccc45)CC3)c(=O)[nH]c2c1",93,"active"
"NCCc1ccc(O)c(O)c1",0,"inactive"
"CN(C)CCC=C1c2ccccc2CSc3ccccc13",95,"active"
"Coc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4",65,"unknown"
"CN(C)CCC=C1c2ccccc2COc3ccccc13",100,"active"
"CC1C2C(O)C3C(N(C)C)C(=C(C(=O)N)C(=O)C3(O)C(=C2C(=O)c4c(O)cccc14)O)O",93,"active"
"NCCCC(N)(C(F)F)C(=O)O",55,"unknown"
"CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N2CCCC2C(=O)O",60,"unknown"
"CSc1ccc(cc1)C(=O)c2[nH]c(=O)[nH]c2C",80,"active"
"CNC(C)C(O)c1ccccc1",100,"active"
"CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O",0,"inactive"
"CCC(=C)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl",90,"active"
"CCC(CO)NCCNC(CC)CO",80,"active"
"CCc1cc(ccn1)C(=S)N",90,"active"
"CCC1(C)CC(=O)NC1=O",100,"active"
"CC(O)(P(=O)(O)O)P(=O)(O)O",5,"inactive"
"CCc1cccc2c3CCOC(CC)(CC(=O)O)c3[nH]c12",73,"unknown"
"CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C",40,"unknown"
"CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(=O)C",73,"unknown"
"NC(=Nc1nc(CSCCC(=NS(=O)(=O)N)N)cs1)N",40,"unknown"
"NC(=O)OCC(COC(=O)N)c1ccccc1",90,"active"
"CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C",100,"active"
"OC(=O)CCC(=O)c1ccc(cc1)c2ccccc2",80,"active"
"CCNC(C)Cc1cccc(c1)C(F)(F)F",95,"active"
"CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2",75,"unknown"
"CC(C(=O)O)c1cccc(Oc2ccccc2)c1",85,"active"
"CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C",100,"active"
"FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC2CCCCN2",95,"active"
"Cc1onc(c1C(=O)NC2C3SC(C)(C)C(N3C2=O)C(=O)O)c4c(F)cccc4Cl",80,"active"
"OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F",90,"active"
"Nc1nc(=O)[nH]cc1F",100,"active"
"Nc1nc(F)nc2n(cnc12)C3OC(COP(=O)(O)O)C(O)C3O",75,"unknown"
"CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C",95,"active"
"CCOC(=O)c1ncn-2c1CN(C)C(=O)c3cc(F)ccc32",95,"active"
"Fc1ccc(cc1)C(N2CCN(CC=Cc3ccccc3)CC2)c4ccc(F)cc4",95,"active"
"CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO",80,"active"
"Fc1c[nH]c(=O)[nH]c1=O",28,"inactive"
"CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2",95,"active"
"OCCN1CCN(CCC=C2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1",100,"active"
"CCC(CC)CCN1C(=O)CN=C(C2CCCCC2F)c3cc(Cl)ccc13",100,"active"
"CC(C(=O)O)c1ccc(c(F)c1)c2ccccc2",95,"active"
"CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F",90,"active"
"CCC(=O)OC1(C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C)C(=O)SCF",20,"inactive"
"CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(c2ccc(F)cc2)c3ccccc13",95,"active"
"COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F",90,"active"
"Nc1nc(=O)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2[nH]1",75,"unknown"
"Coc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1",65,"unknown"
"OC(=O)P(=O)(O)O",20,"inactive"
"CC1OC1P(=O)(O)O",50,"unknown"
"CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N2CC(CC2C(=O)O)C3CCCCC3)C(C)C",34,"unknown"
"NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl",65,"unknown"
"CC1C(O)CCC2(C)C1CCC3(C)C2C(O)CC4C(=C(CCC=C(C)C)C(=O)O)C(CC43C)OC(=O)C",100,"active"
"NCC1(CC(=O)O)CCCCC1",60,"unknown"
"Coc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2cc(OC)c(OC)c(OC)c2)cc1OC",90,"active"
"Nc1nc(O)c2ncn(COC(CO)CO)c2n1",5,"inactive"
"Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1",100,"active"
"CCC12CCC3C(CCC4=CC(=O)CCC34)C2C=CC1(O)C#C",100,"active"
"CCC12C=CC3=C4CCC(=O)C=C4CCC3C2CCC1(O)C#C",60,"unknown"
"Cc1ccc(cc1)S(=O)(=O)NC(=O)NC2C(O)C3(C)CCC2C3(C)C",98,"active"
"Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3",100,"active"
"COc1ccc2c(c1)C(=O)N(CCc3ccc(cc3)S(=O)(=O)NC(=O)NC4CCCCC4)C(=O)C2(C)C",95,"active"
"COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3",95,"active"
"C[N+]1(C)CCC(C1)OC(=O)C(O)(C2CCCC2)c3ccccc3",17.5,"inactive"
"COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1",95,"active"
"CN1C2CCCC1CC(C2)NC(=O)c3nn(C)c4ccccc34",100,"active"
"OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3",100,"active"
"Nnc1nncc2ccccc12",100,"active"
"NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl",70,"unknown"
"CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12",90,"active"
"CCCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C)C(=O)C",90,"active"
"CC(C)Cc1ccc(cc1)C(C)C(=O)O",95,"active"
"CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1",82,"active"
"CC1OC(CC(N)C1O)OC2CC(O)(Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)C(=O)C",30,"inactive"
"OCC1OC(CC1O)n2cc(I)c(=O)[nH]c2=O",0,"inactive"
"CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC12",16,"inactive"
"CC(O)C1C2CC(=C(N2C1=O)C(=O)O)SCCNC=N",5,"inactive"
"CN(C)CCCN1c2ccccc2CCc3ccccc13",90,"active"
"CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc3ccccc3)C(=O)NC4C(O)Cc5ccccc45",19,"inactive"
"COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2c1",100,"active"
"NNC(=O)c1ccncc1",95,"active"
"CC(C)NCC(O)c1ccc(O)c(O)c1",85,"active"
"CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C",90,"active"
"COC(=O)C1=C(C)NC(=C(C1c2cccc3nonc23)C(=O)OC(C)C)C",90,"active"
"CCC(C)n1ncn(c2ccc(cc2)N3CCN(CC3)c4ccc(OCC5COC(Cn6cncn6)(O5)c7ccc(Cl)cc7Cl)cc4)c1=O",85,"active"
"COC1CC(OC2C(C)OC(CC2OC)OC3C(C)C=CC=C4COC5C(O)C(=CC(C(=O)OC(C)CC6(CCC(C)CO6)OC(C)CC=C3C)C54O)C)OC(C)C1O",60,"unknown"
"Fc1ccc(cc1)C(=O)C2CCN(CCn3c(=O)[nH]c4ccccc4c3=O)CC2",100,"active"
"CN1C(=O)CN2C(=O)C=C(C)OC2(c3ccccc3)c4cc(Cl)ccc14",100,"active"
"CC(C(=O)O)c1cccc(c1)C(=O)c2ccccc2",90,"active"
"OC(=O)C1CCn2c(ccc12)C(=O)c3ccccc3",95,"active"
"CN1CCC(=C2c3ccsc3C(=O)Cc4ccccc24)CC1",90,"active"
"CCOC(=O)C1=C(C)NC(=C(C1c2ccccc2C=CC(=O)OC(C)(C)C)C(=O)OCC)C",95,"active"
"OCC1OC(O)(CO)C(O)C1OC2OC(CO)C(O)C(O)C2O",2,"inactive"
"Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl",98,"active"
"Cc1c(CS(=O)c2nc3ccccc3[nH]2)nccc1OCC(F)(F)F",85,"active"
"C1CN2CC(N=C2S1)c3ccccc3",95,"active"
"CC(C)(C)NCC(O)COc1cccc2C(=O)CCCc12",100,"active"
"CCN(CC)CC(=O)Nc1c(C)cccc1C",95,"active"
"NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N2CCCC2C(=O)O",25,"inactive"
"CCN(CC)C(=O)NC1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34",100,"active"
"OC(=O)C(=O)Nc1cc(C#N)cc(NC(=O)C(=O)O)c1Cl",75,"unknown"
"Ccn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12",98,"active"
"CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4",65,"unknown"
"CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1",90,"active"
"OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O",90,"active"
"CCCCc1nc(Cl)c(CO)n1Cc2ccc(cc2)c3ccccc3c4nnn[nH]4",66,"unknown"
"CNCCCC1(CCC2c3ccccc31)c4ccccc24",95,"active"
"COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3",7.5,"inactive"
"CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc2ccc(OC)cc2",90,"active"
"Cc1cccc(Nc2ccccc2C(=O)O)c1C",90,"active"
"OC(C1CCCCN1)c2cc(nc3c(cccc23)C(F)(F)F)C(F)(F)F",77.5,"unknown"
"CC(=O)OC1(CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C)C(=O)C",100,"active"
"CCOC(=O)C1(CCN(C)CC1)c2ccccc2",100,"active"
"CCC1(CCCCN(C)C1)c2cccc(O)c2",100,"active"
"CC(O)C1C2C(C)C(=C(N2C1=O)C(=O)O)SC3CNC(C3)C(=O)N(C)C",0,"inactive"
"COc1ccc2C3CCC4(C)C(CCC4(O)C#C)C3CCc2c1",90,"active"
"CN(C)C(=N)NC(=N)N",55,"unknown"
"Cn1cc[nH]c1=S",95,"active"
"CC(CO)NC(=O)C1CN(C)C2Cc3cn(C)c4cccc(C2=C1)c34",95,"active"
"COC(=O)C(C1CCCCN1)c2ccccc2",80,"active"
"CC1CC2C3CCC(O)(C(=O)COC(=O)CCC(=O)O)C3(C)CC(O)C2C4(C)C=CC(=O)C=C14",90,"active"
"CCC(CO)NC(=O)C1CN(C)C2Cc3cn(C)c4cccc(C2=C1)c34",100,"active"
"CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC",90,"active"
"CC1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)S(=O)(=O)N",64,"unknown"
"COCCc1ccc(OCC(O)CNC(C)C)cc1",95,"active"
"Cc1ncc([N+](=O)[O-])n1CCO",95,"active"
"CC1(C)SC2C(NC(=O)C(NC(=O)N3CCN(C3=O)S(=O)(=O)C)c4ccccc4)C(=O)N2C1C(=O)O",0,"inactive"
"CN1CCN2C(C1)c3ccccc3Cc4ccccc24",70,"unknown"
"COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4C1C(C)C",100,"active"
"Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1",20,"inactive"
"Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4-n12",100,"active"
"CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC21C)c5ccc(cc5)N(C)C",90.6,"active"
"CC1=NC(=O)C(C=C1c2ccncc2)C#N",82.5,"active"
"CN(C)C1C2CC3Cc4c(ccc(O)c4C(=O)C3=C(O)C2(O)C(=O)C(=C1O)C(=O)N)N(C)C",100,"active"
"Nc1cc(nc(N)[n+]1[O-])N2CCCCC2",100,"active"
"CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC",88,"active"
"Clc1ccc(cc1)C(=O)NCCN2CCOCC2",95,"active"
"CCOC(=O)N=c1c[n+]([n-]o1)N2CCOCC2",100,"active"
"CCOC(=O)Nc1ccc2Sc3ccccc3N(C(=O)CCN4CCOCC4)c2c1",95,"active"
"CN1CCC23C4Oc5c3c(CC1C2C=CC4O)ccc5O",37.5,"unknown"
"COC1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C3OCC(=C(N3C1=O)C(=O)O)CSc4nnnn4C",0,"inactive"
"COc1ccc2cc(CCC(=O)C)ccc2c1",80,"active"
"CC(C)(C)NCC(O)COc1cccc2CC(O)C(O)Cc12",30,"inactive"
"CCN(CC)CCOC(=O)C(CC1CCCO1)Cc2cccc3ccccc23",92.5,"active"
"OC1CCC2(O)C3Cc4ccc(O)c5OC1C2(CCN3CC6CCC6)c54",100,"active"
"CCn1cc(C(=O)O)c(=O)c2ccc(C)nc12",90,"active"
"Oc1ccc2CC3N(CC=C)CCC4(C5Oc1c24)C3(O)CCC5=O",95,"active"
"Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)CCC6=O",100,"active"
"Coc1ccc2cc(ccc2c1)C(C)C(=O)O",100,"active"
"CCCc1c2oc(cc(=O)c2cc3c(=O)cc(C(=O)O)n(CC)c13)C(=O)O",2.5,"inactive"
"CCc1nn(CCCN2CCN(CC2)c3cccc(Cl)c3)c(=O)n1CCOc4ccccc4",99,"active"
"CN1CCOC(c2ccccc2)c3ccccc3C1",97.5,"active"
